35,35,국가의 복지 증진과 국민의 건강유지 향상을 위하여 필요한 전문 지식을 탐구하며 건전하고 유능한 보건행정의 전문 인재 양성을 목적으로 하는 학과이다.,건강에 대하여 관심이 많은 학생;남을 돕고 싶은 따뜻한 마음이 있는 학생;국제 사회에서 일을 하고 싶은 학생;다양한 인문학적 소양을 가진 학생;세상을 건강하고 아름답게 바꾸고 싶은 욕구를 가진 학생,확률과 통계;생활과 윤리;경제;정치와 법;사회·문화;생명과학Ⅰ;보건,생활과 과학;사회문제 탐구
19,19,"금융 및 보험에 관한 학문적 기초 지식을 체계적으로 습득하고 기업 경영에 있어서의 재무와 위험관리에 관련된 주요 기능을 이해, 분석할 수 있는 기술적 수단을 연구한다. 금융 및 보험 산업의 국제화 추세에 따른 환경 변화에 능동적 으로 적응할 수 있는 실질적 능력을 배양하여 경제발전에 기여할 수 있는 전문 인재 양성을 목적으로 하는 학과이다.","수치에 밝고 계산 능력이 뛰어난 학생;여러 수치를 정확하게 처리할 수 있는 꼼꼼한 성격을 가진 학생;재테크에 관심이 있거나 금융 상품에 대한 광고, 홍보물을 유심히 보는 등 호기심을 가진 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제;정치와 법;사회·문화;심리학,경제 수학;사회문제 탐구
68,68,"건축은 인간에 대한 인문학적 특성(지리, 역사, 사회, 심리 등)을 바탕으로 재료와 구조역학 이해, 설계 능력 등의 융합적 능력을 갖춘 인력 양성을 목적으로 하는 학과이다.","수학, 과학 등 기초과학 분야의 기본 지식과 공간지각력, 미적 감각 등 통합적 소질을 가진 학생;사회와 역사, 심리 등 사람에 대한 공감 능력이 뛰어난 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;세계지리;물리학Ⅰ;화학Ⅰ;지구과학Ⅰ;환경,기하;물리학Ⅱ;화학Ⅱ;생활과 과학
53,53,"기계공학, 전기·전자공학, 소프트웨어 기술을 바탕으로 자동차 개발과 생산, 정비 및 진단에 필요한 인력 양성을 목적으로 하는 학과이다.","수학, 물리 등 기초과학에 대해 기본적인 지식을 갖춘 학생;다양한 공학 지식과 이론을 응용할 수 있는 능력을 갖춘 학생;기계나 항공, 전기, 전자, 디자인, 심리학 등 인접 학문에 흥미가 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;정보,기하;물리학Ⅱ;화학Ⅱ
71,71,"다리, 터널, 철도, 지하철, 발전소, 댐, 상하수도, 환경 관련 시설, 안전 관리 시설 등의 설계 및 시공·유지하는 지식을 활용하여 사람과 자연이 어우러지는 공학적 구조와 공간을 만드는 인재 양성을 목적으로 하는 학과이다.","수학, 물리학 등 공학 기초 과목에 관한 관심과 흥미가 있는 학생;활동적이고 진취적인 성격을 지닌 학생;각종 건축구조물에 대한 호기심을 지닌 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;세계지리;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ;정보,기하;물리학Ⅱ;화학Ⅱ;지구과학Ⅱ
57,57,"기계공학을 바탕으로 비행기, 인공위성, 헬리콥터, 미사일, 우주선 등을 설계하고 개발할 수 있는 인력 양성을 목적으로 하는 학과이다.","수학, 물리학 등 기초 공학 과목에 관심과 흥미를 지닌 학생;기계나 사물을 다루는 것을 좋아하고 진취적이고 새로운 것에 도전하는 열정이 있는 학생;다양한 정보와 기술을 습득할 수 있는 영어 실력을 갖춘 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;지구과학Ⅰ;정보,기하;물리학Ⅱ;화학Ⅱ;지구과학Ⅱ
58,58,비행 원리를 비롯한 항공 관련 기본 지식 연구와 항공기 운항 실습 등 체계적인 비행 교육 프로그램을 통해 조종사를 포함한 항공 전문인력 양성을 목적으로 하는 학과이다.,"수학, 물리학 등 기초 공학 과목에 관심과 흥미를 지닌 학생;영어 의사소통 능력이 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;생활과 윤리;정치와 법;물리학Ⅰ;화학Ⅰ;지구과학Ⅰ;정보,기하;물리학Ⅱ;영어권 문화
42,42,"수학과 물리학 지식을 바탕으로 우주를 구성하는 태양계, 항성, 성운, 성단, 우리 은하와 외부 은하에서 일어나는 현상들을 관측하고, 지구와 태양계의 운동, 별의 일생, 은하의 구조와 특성, 우주의 생성과 진화를 연구하는 인재 양성을 목적으로 하는 학과이다.","수학, 물리학, 지구과학 등 기초과학 과목에 적성과 흥미가 있는 학생;평소 별의 원리와 성질에 관심이 많은 학생;별을 세심하게 관찰할 수 있는 꼼꼼한 성격을 갖춘 학생;천문계산을 위한 소프트웨어 사용법, 수치계산, 수치적분, 프로그래밍 능력에 관심 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,기하;물리학Ⅱ;지구과학Ⅱ;융합과학
61,61,제품 생산과 전달의 전 과정에서 과학적이고 합리적으로 산업시스템을 설계하고 운영하는 인력 양성을 목적으로 하는 학과이다. 제품 생산과 전달의 전 과정에서 과학적이고 합리적으로 산업시스템을 설계하고 운영하는 인력 양성을 목적으로 하는 학과이다,"수학, 역학 등의 자연과학 교과목뿐만 아니라 경영, 서비스 관련 등 다양한 사회과학에 관심이 많은 학생;문제 해결 능력, 논리적 사고력, 창의성이 많은 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;경제;물리학Ⅰ;화학Ⅰ;정보,기하;융합과학;물리학Ⅱ;화학Ⅱ
79,79,"바이오, 화학 및 에너지 등 산업 현장에서 사용되는 철과 비철금속 재료를 개발 및 활용할 수 있는 인력 양성을 목적으로 하는 학과이다.","수학, 화학, 물리학 등 기초과학에 대한 관심이 있는 학생;지적 호기심이 강하고, 분석적인 사고를 하며 혁신적인 성격을 가진 학생;복잡하게 꼬인 문제를 차근차근 풀어내는 인내심이 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;환경,기하;물리학Ⅱ;화학Ⅱ;지구과학Ⅱ
59,59,현대 사회에서 생산되는 방대하고 다양한 데이터를 다양한 분야에서 활용할 수 있도록 수집·저장·분석하는 인력 양성을 목적으로 하는 학과이다.,수학을 좋아하고 자료를 잘 분류하거나 유목화하는 분야에 관심이 있는 학생;정보를 분석하고 해석하는 것에 적성과 흥미가 있는 학생;컴퓨터를 활용한 다양한 프로그램 사용에 관심이 높은 학생;사회 현상을 바라보는 분석력과 통찰력을 갖춘 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;정치와 법;정보;논리학,기하;수학과제 탐구;인공지능 수학;물리학Ⅱ;인공지능 기초
7,7,"스페인어에 대한 체계적인 학습 훈련과 언어, 문화 및 문학에 관한 깊이 있는 이해를 통해, 스페인 및 해당 언어권 국가와 관련된 사회 여러 분야에서 요구되는 새로운 인재의 양성을 목표로 하는 학과이다.","스페인어권 국가의 어학, 문학, 문화에 관심이 있고 심화된 지식과 역량을 갖고자 하는 학생;새로운 세계를 탐구해 나가려는 호기심과 문학적 감수성과 상상력을 지닌 학생;언어의 과학적 구조에 관심이 있는 학생",영어Ⅰ;영어 독해와 작문;영어Ⅱ;윤리와 사상;세계지리;세계사;스페인어Ⅰ,영어권 문화;영미 문학 읽기;스페인어Ⅱ
50,50,"조경(造景, Landscape Architecture)이란 우리가 살아가고 있는 환경을 아름답고 쓸모있고 건강하게 만들고 가꾸는 작업으로, 작게는 주택 정원, 도시 광장으로부터 크게는 전 국토에 이르는 광범위한 옥외 공간의 계획, 설계, 시공, 감리 및 관리 능력을 고루 갖춘 인재 양성을 목적으로 하는 학과이다.",시각적으로 아름답게 보이게 하는 미적 감각이 있는 학생;여러 분야의 사람들이 함께 일하는 경우가 많으므로 팀 활동을 위한 협동심이 있는 학생;현상을 전체적인 관점으로 관찰하고 사고하길 즐기는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,기하;생명과학Ⅱ;지구과학Ⅱ
45,45,식생활을 통해 건강한 삶을 누릴 수 있도록 식품과 영양에 관한 과학적인 지식을 탐구하여 지역 사회 및 국민의 영양과 건강을 증진하는 데 기여할 수 있는 인재 양성을 목적으로 하는 학과이다.,"식품, 영양에 대한 중요성을 이해하고 첨단 기술을 식품에 응용할 수 있는 창의력 및 응용력이 필요;생물이나 화학 등 자연 기초과목을 좋아하는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;생활과 윤리;정치와 법;화학Ⅰ;생명과학Ⅰ,화학Ⅱ;생명과학Ⅱ;생활과 과학;가정과학
77,77,"신소재, 생체 재료, 기능 재료, 환경 재료 등 첨단산업 발전의 핵심적인 역할을 담당하는 공학 소재의 개발과 개선을 연구하는 인력 양성을 목적으로 하는 학과이다.","신소재공학의 근간이 되는 수학, 물리학, 화학 등 기초공학 과목에 소양이 있는 학생;다양한 소재에 관해 공부하고 싶은 호기심과 관심이 있는 학생;새로운 과학기술의 발달과 인간의 욕구에 대해 충분히 이해하고 선도할 능력을 갖춘 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ,기하;물리학Ⅱ;화학Ⅱ
30,30,아동이 건전하고 행복한 환경 속에서 정신적 육체적으로 올바르게 성장하여 바람직한 사회인으로 성숙할 수 있도록 아동복지 영역에서 이론과 실제에 능통한 전문 인재 양성을 목적으로 하는 학과이다.,아동ᆞ가족학과 사회복지학의 여러 학문에 관심이 있는 학생;아동 및 청소년 지도나 봉사 활동에 관심이 있는 학생;협력적 문제 해결 능력을 가진 학생,확률과 통계;생활과 윤리;경제;정치와 법;사회·문화,사회문제 탐구
112,112,영·유아기 발달 과정을 이해하고 효과적인 유아교육을 위한 이론 학습 및 실습을 통하여 건전한 인성을 기르고 유아의 특성에 맞는 교육을 개발하고 현장에서 적용할 수 있는 전문 인력 양성을 목적으로 하는 학과이다,"아이들을 좋아하며 아이들의 입장에서 이해하려는 자세를 갖춘 학생;음악·무용·미술 등에 다양한 소질과 정확한 언어 구사 능력이 있는 학생;종이 접기, 동화 구연, 인형극 등 아이들이 좋아할 만한 특기가 있는 학생",확률과 통계;생활과 윤리;생명과학Ⅰ;심리학;교육학,사회문제 탐구;음악 감상과 비평;미술 감상과 비평
84,84,"응급의료에 관한 법률’에 따라, 응급환자 발생 현장, 환자 이송 중, 의료기관 내에서 기본 및 전문 응급처치 활동을 할 수 있고, 인간 사랑과 생명 존중을 현실화시킬 수 있는 실무 능력을 겸비한 1급 응급구조사 양성을 목적으로 하는 학과이다.",아픈 사람을 돕는 것을 좋아하고 희생정신을 통해 보람을 느낄 수 있는 학생;응급의료 분야에 대한 관심이 많고 책임 의식과 사명감이 투철한 학생;타인에 대한 배려가 있으며 생명을 소중히 하고 어려움에 처한 사람들을 구하는 데 보람을 느끼는 학생,생활과 윤리;정치와 법;화학Ⅰ;생명과학Ⅰ;보건,생명과학Ⅱ;생활과 과학
12,12,"문화유산을 올바르게 보존하고 이를 바탕으로 문화유산의 참된 의미를 탐구하는 학과이다. 문화재에 대한 조사, 연구, 보존을 위해 고고학, 미술사, 보존과학, 박물관학 등 융·복합 인재 양성을 목표로 하는 학과이다.","역사, 생활양식, 언어, 예술 등 문화 전반에 대한 관심과 흥미를 지닌 학생;인문학, 미술사, 고고학, 과학적 지식의 종합적 연구에 흥미를 느끼는 학생;보존방법 연구와 관련하여 물리학, 화학, 생명과학 등에 대한 이해를 갖춘 학생",한국지리;세계사;동아시아사;사회·문화;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;제2외국어Ⅰ;한문Ⅰ,화학Ⅱ;미술 감상과 비평;한문Ⅱ
15,15,"인간과 문화를 종합적으로 연구하며, 인문학과 사회과학을 아우르는 성격을 지닌다. 문화인류학, 생물인류학 등의 분야를 통하여 문화 현상들을 깊이 연구하고, 문화적 감수성과 비판적 안목을 지닌 인재 양성을 목적으로 하는 학과이다.","열린 마음을 지니고 있어 차이와 다양성에 많은 관심을 가지고, 당연한 관념들에 대해 질문을 던지는 학생;현지조사를 중시하기 때문에 낯선 환경을 두려워하지 않고, 여행과 새로운 만남을 즐기는 학생;다른 사람들의 경험과 이야기를 통해 새로운 방식으로 세상을 인식할 준비가 된 학생",세계지리;동아시아사;세계사;정치와 법;윤리와 사상;사회·문화;생명과학Ⅰ,영어권 문화
95,95,영어 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 언어 계열 과목 교육자로서의 전문적인 소양을 갖춘 유능하고 진취적인 교사를 양성하는 것을 목적으로 인격과 전문성을 겸비한 교육 전문 인력 양성을 목적으로 하는 학과이다.,영어에 대한 지식과 열정을 기본으로 인간과 사물을 사랑하고 존중하는 따뜻한 마음을 가진 학생;변화에 대해 능동적으로 대처하는 자세를 갖춘 학생;말과 글에 대한 긍지와 애정을 가진 진취적인 태도를 갖춘 학생;미래 교육과 연구를 담당할 수 있도록 전문 능력을 갖추려는 자세를 갖춘 학생,확률과 통계;영어 회화;영어Ⅰ;영어 독해와 작문;영어Ⅱ;생활과 윤리;윤리와 사상;세계사;사회·문화;정치와 법;교육학;심리학,영어권 문화;영미 문학 읽기
8,8,"영어학 및 영미문학에 대한 폭넓은 이해와 국제어인 영어로 자유롭게 의사소통할 수 있는 능력 함양을 목표로 한다. 언어로서 영어가 지닌 구조와 특성, 영어권 문학의 변천사와 작품들에 대한 이해 과정을 바탕으로 비판적, 창의적 사 고력을 지닌 글로벌 인재 양성을 목적으로 하는 학과이다.","영어와 외국어에 관심을 가지고, 외국의 문화와 역사, 사회와 경제 등에 흥미를 느끼는 학생;언어를 다양한 각도에서 공부하는 데에 흥미가 있는 학생;문학을 좋아하며 자신의 의견 표현, 텍스트 분석과 비평에 흥미가 있는 학생",영어 회화;영어Ⅰ;영어 독해와 작문;영어Ⅱ;윤리와 사상;세계지리;세계사;사회·문화,영어권 문화;진로 영어;영미 문학 읽기
25,25,뉴미디어에 관한 표현·기술·환경 등을 종합적으로 이해하는 것은 물론 새로운 미디어 환경에 적합한 지식과 기술 을 학제적으로 가르치는 학과이다.,예술적인 감수성과 컴퓨터 활용 능력을 갖춘 학생;디지털 콘텐츠에 관심이 많고 컴퓨터를 이용한 콘텐츠 개발에 흥미와 열정이 있는 학생,윤리와 사상;경제;정치와 법;사회·문화;정보;심리학,사회문제 탐구;생활과 과학
22,22,"호텔 경영 전반에 관한 전문적인 지식과 현장 실무교육, 외국어 교육을 통해 관광 산업 및 호텔 산업을 성장시킬 미래의 전문가를 양성한다. 또한 미래 문화 생활 패턴을 선도하는 관광전문경영인, 한국의 매력을 창출하고 홍보 하는 인재 양성을 목적으로 하는 학과이다.",외국어에 흥미가 많은 학생;사교성이 좋으며 관광 관련 학문에 관심이 많은 학생;두려움 없이 새로운 것에 도전하며 서비스 지향적인 생각을 갖춘 학생;국제적인 감각과 의사소통 능력을 갖춘 학생,확률과 통계;영어 회화;영어Ⅰ;생활과 윤리;한국지리;세계지리;세계사;동아시아사;경제;사회·문화;제2외국어Ⅰ,영어권 문화;진로 영어;사회문제 탐구;여행지리;제2외국어Ⅱ
1,1,"우리말과 우리 문학을 연구하여 민족 문화를 창조적으로 계승하고 발전시키는 것을 목적으로 한다. 국어의 구조와 역사를 밝히고, 시대별 문학을 그 시대정신과 사회 배경 속에서 이해하고 그 가치를 탐구하는 인재 양성을 목적으 로 하는 학과이다.","우리말의 유래·구조·원리, 문학 작품 읽기, 창작에 관심이 많은 학생;주관적인 창작 능력과 객관적인 분석 능력이 균형적으로 발달된 학생;언어 감각과 논리적 사고력, 비평적으로 읽고 분석하는 능력을 갖춘 학생",윤리와 사상;한국지리;사회·문화;한문Ⅰ,심화 국어;고전 읽기;한문Ⅱ
24,24,"사람들 간의 원활한 소통을 위해 신문, 방송, 영상매체, 정보통신 등 대중 매체에 대해 연구하고 바람직한 미디어 문화와 대중 매체의 발전에 기여하는 전문 인재 양성을 목적으로 하는 학과이다.",인간과 사회에 대한 따뜻한 관심과 깊은 통찰력을 가진 학생;언론에 대한 이론과 실무를 겸비하려는 자세를 가진 학생;자연-사회-인간의 소통을 이끄는 자세를 가진 학생,언어와 매체;윤리와 사상;경제;정치와 법;사회·문화;논리학;심리학,고전과 윤리;사회문제 탐구
83,83,"물리적인 요소를 이용한 전기치료, 광선치료, 수치료, 온열치료 등과 운동생리학 및 임상운동학, 관절생리학 등의 학문을 기초로 하는 운동치료 및 기능 훈련을 통하여 환자의 손상 및 장애 등을 치료, 진단하고 손상으로 인해 소실된 기능을 되찾아 주며, 신체의 건강을 돌보고 향상시키는 인력 양성을 목적으로 하는 학과이다","인간애를 바탕으로 봉사 정신을 가진 학생;다양한 사람들과 원만한 대인 관계를 형성할 수 있는 학생;인체의 움직임에 대해서 배우고, 이를 실제 현장에서 활용하므로 다양한 환경에 대해 적응할 수 있는 학생",확률과 통계;생활과 윤리;정치와 법;물리학Ⅰ;생명과학Ⅰ;보건,생명과학Ⅱ;생활과 과학
106,106,물리학을 바탕으로 과학적인 이론과 실제적인 실험을 통하여 교육 현장에서 학생을 지도할 수 있는 능력을 갖춘 중등교원 양성을 목적으로 하는 학과이다.,"인간에 대한 지속적인 관심을 가지고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생;과학교육을 포함한 교육 전반에 관심과 열정을 가지고 있는 학생;미래 교육지도자로서 도덕과 인성, 뚜렷한 교직관을 가진 학생;물리학에 대한 열정 및 물리학 관련 분야로 진출하고자 하는 의지가 있는 학생",수학Ⅰ;수학Ⅱ;확률과 통계;미적분;물리학Ⅰ;화학Ⅰ;교육학;심리학,기하;물리학Ⅱ;화학Ⅱ
108,108,생물학을 바탕으로 과학적인 이론과 실제적인 실험을 통하여 교육 현장에서 학생을 지도할 수 있는 능력을 갖춘 중등교원 양성을 목적으로 하는 학과이다.,"인간에 대한 지속적인 관심을 가지고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생;과학교육을 포함한 교육 전반에 관심과 열정을 가지고 있는 학생;미래 교육지도자로서 도덕과 인성, 뚜렷한 교직관을 가진 학생;생물학에 대한 열정 및 물리학 관련 분야로 진출하고자 하는 의지가 있는 학생",수학Ⅰ;수학Ⅱ;확률과 통계;미적분;화학Ⅰ;생명과학Ⅰ;교육학;심리학,기하;화학Ⅱ;생명과학Ⅱ
109,109,지구과학을 바탕으로 과학적인 이론과 실제적인 실험을 통하여 교육 현장에서 학생을 지도할 수 있는 능력을 갖춘 중등교원 양성을 목적으로 하는 학과이다.,"인간에 대한 지속적인 관심을 가지고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생;과학교육을 포함한 교육 전반에 관심과 열정을 가지고 있는 학생;미래 교육지도자로서 도덕과 인성, 뚜렷한 교직관을 가진 학생;지구과학에 대한 열정 및 물리학 관련 분야로 진출하고자 하는 의지가 있는 학생",수학Ⅰ;수학Ⅱ;확률과 통계;미적분;화학Ⅰ;지구과학Ⅰ;교육학;심리학,기하;화학Ⅱ;지구과학Ⅱ
107,107,화학을 바탕으로 과학적인 이론과 실제적인 실험을 통하여 교육 현장에서 학생을 지도할 수 있는 능력을 갖춘 중등교원 양성을 목적으로 하는 학과이다.,"인간에 대한 지속적인 관심을 가지고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생;과학교육을 포함한 교육 전반에 관심과 열정을 가지고 있는 학생;미래 교육지도자로서 도덕과 인성, 뚜렷한 교직관을 가진 학생;화학에 대한 열정 및 물리학 관련 분야로 진출하고자 하는 의지가 있는 학생",수학Ⅰ;수학Ⅱ;확률과 통계;미적분;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;교육학;심리학,기하;물리학Ⅱ;화학Ⅱ;생명과학Ⅱ
102,102,역사 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 역사 교과 교육자로서 현실적인 각종 사회 관련 문제에 올바르게 대처하여 합리적인 의사 결정을 할 수 있는 진취적인 교사 양성을 목적으로 하는 학과이다.,"인간에 대한 지속적인 관심을 가지고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생;학생을 가르치는 것에 적성과 흥미가 있는 학생;역사 분야에 관심이 많고, 신문 기사와 뉴스를 찾아보는 학생;사회 현상을 바라보는 분석력과 통찰력을 갖춘 학생",확률과 통계;세계사;동아시아사;교육학;심리학,사회문제 탐구
104,104,윤리 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 역사 교과 교육자로서 현실적인 각종 사회 관련 문제에 올바르게 대처하여 합리적인 의사 결정을 할 수 있는 진취적인 교사 양성을 목적으로 하는 학과이다.,"인간에 대한 지속적인 관심을 가지고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생;학생을 가르치는 것에 적성과 흥미가 있는 학생;윤리 분야에 관심이 많고, 신문 기사와 뉴스를 찾아보는 학생;사회 현상을 바라보는 분석력과 통찰력을 갖춘 학생",확률과 통계;생활과 윤리;윤리와 사상;교육학;심리학,사회문제 탐구;고전과 윤리
101,101,사회과학의 제반 분야 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 사회 교과 과목 교육자로서 현실적인 각종 사회 관련 문제에 올바르게 대처하여 합리적인 의사 결정을 할 수 있는 진취적인 교사 양성을 목적으로 하는 학과이다.,"인간에 대한 지속적인 관심을 가지고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생;학생을 가르치는 것에 적성과 흥미가 있는 학생;정치, 경제, 사회 문화 등 다양한 분야에 관심이 많고, 신문 기사와 뉴스를 찾아보는 학생;사회 현상을 바라보는 분석력과 통찰력을 갖춘 학생",확률과 통계;경제;정치와 법;사회·문화;생활과 윤리;교육학;심리학,사회문제 탐구
103,103,지리 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 역사 교과 교육자로서 현실적인 각종 사회 관련 문제에 올바르게 대처하여 합리적인 의사 결정을 할 수 있는 진취적인 교사 양성을 목적으로 하는 학과이다.,"인간에 대한 지속적인 관심을 가지고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생;학생을 가르치는 것에 적성과 흥미가 있는 학생;지리 분야에 관심이 많고, 신문 기사와 뉴스를 찾아보는 학생;사회 현상을 바라보는 분석력과 통찰력을 갖춘 학생",확률과 통계;한국지리;세계지리;교육학;심리학,여행지리;사회문제 탐구
10,10,"인류가 남겨 놓은 유적과 유물을 발굴하고 분석하여 과거의 문화를 복원하고 문화 변동의 과정을 규명하는 것을 목적 으로 한다. 문화인류학이나 역사학과 상호 보완 관계에 있다. 역사와 문화를 연구하여 인류사회가 지나왔던 사회, 경제, 문화 등을 이해할 수 있는 인재 양성을 목적으로 하는 학과이다.","인류의 유물, 유적에 관심이 많고, 사물에 대한 관찰력이 뛰어난 학생;인간에 대한 깊은 호기심을 가지며, 인류와 사회의 발달 과정에 대해 흥미를 느끼는 학생;문화 변동 등에 대한 상상력이 풍부하고, 논리력을 갖춘 학생",윤리와 사상;한국지리;세계지리;세계사;동아시아사;사회·문화;제2외국어Ⅰ;한문Ⅰ,제2외국어Ⅱ;한문Ⅱ
111,111,"아동의 심리적 특성, 교육의 과정 및 환경에 대한 다각적 이해를 바탕으로 최대한의 교육적 효과를 거둘 수 있도록 이론적 기초와 실천적 지식을 갖추어 초등교육을 위한 유능한 예비 초등교사 양성을 목적으로 하는 학과이다.","인문, 사회, 과학, 예체능 등 다양한 분야에 두루두루 관심이 많은 학생;어린이를 좋아하고 아동교육에 관심이 있는 학생;어린이를 독립된 인격체로 성장할 수 있도록 도와주는 마음가짐을 가진 학생","확률과 통계;생활과 윤리;윤리와 사상;동아시아사;세계사;사회·문화;정치와 법;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ;심리학;교육학;정보
",사회문제 탐구;생활과 과학;음악 감상과 비평;미술 감상과 비평
13,13,"인문학을 바탕으로 예술, 기술, 마케팅 분야의 융합 인재 양성을 목표로 한다. 영화, 애니메이션, 방송, 게임, 캐릭터, 문화기획 등 문화콘텐츠 산업의 다양한 분야에서 기획, 제작, 마케팅 역량을 지닌 인재 양성을 목적으로 하는 학과 이다.","인문학과 사회 현상에 호기심과 관심이 많은 학생;언어 능력 및 글쓰기 능력, 창작 능력이 뛰어난 학생;문화콘텐츠에 대한 깊이 있는 지식과 이를 바탕으로 한 비평 등에 관심을 지닌 학생",언어와 매체;윤리와 사상;세계사;동아시아사;사회·문화;심리학;철학;논술,음악 감상과 비평;미술 감사과 비평
