35,35,국가의 복지 증진과 국민의 건강유지 향상을 위하여 필요한 전문 지식을 탐구하며 건전하고 유능한 보건행정의 전문 인재 양성을 목적으로 하는 학과이다.,건강에 대하여 관심이 많은 학생;남을 돕고 싶은 따뜻한 마음이 있는 학생;국제 사회에서 일을 하고 싶은 학생;다양한 인문학적 소양을 가진 학생;세상을 건강하고 아름답게 바꾸고 싶은 욕구를 가진 학생,확률과 통계;생활과 윤리;경제;정치와 법;사회·문화;생명과학Ⅰ;보건,생활과 과학;사회문제 탐구
82,82,사람들의 건강한 삶을 돕고 질병에서 오는 고통을 줄여 더 행복한 삶을 살 수 있도록 돕는 전문 간호 이론과 기술을 배우며 국가 시험을 거쳐 간호사 면허 취득 후 간호사가 될 인력 양성을 목적으로 하는 학과이다.,"인체나 질병, 생명 등에 대한 관심이 있고, 생명과학이나 화학 등의 교과목에 흥미와 소질이 있는 학생;대인 관계가 원만하고, 이해심이 많고 성실하며 책임감이 강한 학생;상황에 유연하게 대처할 수 있고, 사람과 잘 어울리며 마음이 따뜻한 학생",확률과 통계;생활과 윤리;정치와 법;화학Ⅰ;생명과학Ⅰ;보건,화학Ⅱ;생명과학Ⅱ;생활과 과학
2,2,"일본어에 대한 체계적인 학습 훈련과 언어, 문화 및 문학에 관한 깊이 있는 이해를 통해 일본 및 해당 언어권 국가와 관련된 사회 여러 분야에서 요구되는 새로운 인재의 양성을 목표로 하는 학과이다.","일본어권 국가의 어학, 문학, 문화에 관심이 있고 심화된 지식과 역량을 갖고자 하는 학생;새로운 세계를 탐구해 나가려는 호기심을 지닌 학생;문학적 감수성과 상상력이 있고, 언어의 과학적 구조에 관심이 있는 학생",윤리와 사상;세계지리;동아시아사;사회·문화;일본어Ⅰ;한문Ⅰ,"일본어Ⅱ,한문Ⅱ"
98,98,일본어 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 언어 계열 과목 교육자로서의 전문적인 소양을 갖춘 유능하고 진취적인 교사를 양성하는 것을 목적으로 인격과 전문성을 겸비한 교육 전문 인력 양성을 목적으로 하는 학과이다.,일본어에 대한 지식과 열정을 기본으로 인간과 사물을 사랑하고 존중하는 따뜻한 마음을 가진 학생;변화에 대해 능동적으로 대처하는 자세를 갖춘 학생;말과 글에 대한 긍지와 애정을 가진 진취적인 태도를 갖춘 학생;미래 교육과 연구를 담당할 수 있도록 전문 능력을 갖추려는 자세를 갖춘 학생,확률과 통계;생활과 윤리;윤리와 사상;동아시아사;사회·문화;정치와 법;일본어Ⅰ;한문Ⅰ;교육학;심리학,심화 국어;고전 읽기;일본어Ⅱ;한문Ⅱ
21,21,급변하는 현대 기업 환경에서 중요성이 부각되고 있는 기업의 회계 보고 환경 및 세무의사결정과 관련한 전문 인재 양성을 목적으로 하는 학과이다.,자기주도적이고 함께 일할 줄 아는 협업 정신이 있는 학생;결단력이 필요한 상황에서 스스로 잘 판단하는 학생;수치에 밝고 꼼꼼한 성격의 학생;스스로 계획하고 꾸준히 실행하는 성실한 태도를 갖춘 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;생활과 윤리;경제;정치와 법;실용 경제,경제 수학;사회문제 탐구
80,80,"화장품의 원료 개발에 필요한 기능성 식물, 기능성 천연물 소재 등을 개발하고 화장품 제조 분야에 응용할 수 있는 인력 양성을 목적으로 하는 학과이다.","자연 현상에 대한 호기심과 관찰력, 논리적인 분석 능력을 지닌 학생;꾸준하고 성실한 자세와 새로운 것에 관심을 기울이는 자세를 겸비한 학생;실험하는 도전 정신, 탐구력, 창의력이 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;사회·문화;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ,화학Ⅱ;생명과학Ⅱ;생활과 과학
81,81,"화장품의 원료 개발에 필요한 기능성 식물, 기능성 천연물 소재 등을 개발하고 화장품 제조 분야에 응용할 수 있는 인력 양성을 목적으로 하는 학과이다.","자연 현상에 대한 호기심과 관찰력, 논리적인 분석 능력을 지닌 학생;꾸준하고 성실한 자세와 새로운 것에 관심을 기울이는 자세를 겸비한 학생;실험하는 도전 정신, 탐구력, 창의력이 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ,기하;물리학Ⅱ;화학Ⅱ;생활과 과학
44,44,"물질을 구성하고 있는 기본 성분과 고유한 성질 및 구조를 이해하고, 이들이 상호 작용에 의한 반응으로 어떻게 변환 되는지 등을 연구하는 학문으로, 모든 물질이 화학과 관련되어 있어 자연과학 연구의 기초가 되므로 다양한 분야에 응용할 수 있는 인재 양성을 목적으로 하는 학과이다.","자연 현상에 대한 호기심과 관찰력, 논리적인 분석력이 있는 학생;새로운 것에 관심을 기울이는 자세를 갖춘 학생;실험하는 도전 정신, 탐구력, 창의력이 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ,기하;물리학Ⅱ;화학Ⅱ;생명과학Ⅱ
39,39,"생명체를 연구대상으로 하여 생명 원리와 응용 방법을 연구하는 학문으로, 생명과학 관련 산업 현장 및 연구 분야 에 종사할 전문 인재 양성을 목적으로 하는 학과이다.","자연과학 기초과목에 흥미와 생명현상에 관심이 있는 학생;자연법칙과 과학적 연구 방법을 이해하고 적용할 수 있는 추론적 판단력이 있는 학생;생명현상을 객관적으로 보는 관찰력, 논리적 사고, 도전 정신, 분석력이 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;생활과 윤리;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ,화학Ⅱ;생명과학Ⅱ
41,41,"지구의 생성과 진화, 지구 구성물질의 순환, 지구의 구조 등 전반적인 지구작용과 지구 구성 물질에 대한 이해를 추구 하며, 지구환경의 변화를 예측하고 대비하는 학문이다. 최근에는 화석 및 신재생에너지와 광물 및 수자원의 탐사 및 개발, 신소재 개발, 균형 있는 국토 개발 및 지구환경 보전, 자연재해의 대비 등 인류 복지를 위한 실용적인 측면을 연구하는 인재 양성을 목적으로 하는 학과이다.","자연과학뿐 아니라 공학에 대한 기초적인 지식을 갖추고 있는 학생;지적학의 경우 사회학이나 법학 등 사회과학 지식도 흥미로워하는 학생;암석이나 자원, 자연환경 등 지구에 대한 호기심이 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;세계지리;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,기하;물리학Ⅱ;지구과학Ⅱ
49,49,"원예 작물의 재배, 생산과 더불어 원예 산물의 가공 및 활용, 생명공학 기술의 적용과 이용 등에 관한 연구를 수행 하며 이를 위한 합리적인 지식의 탐구와 체계적인 교육을 통하여 사회에 기여할 수 있는 창조적 원예 전문 지식인 양성을 목적으로 하는 학과이다.","자연을 좋아하고 나무와 꽃, 식물 등에 관심이 있는 학생;지구온난화, 친환경적인 삶 등의 자연 및 생활환경 문제에도 관심이 많은 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,화학Ⅱ;생명과학Ⅱ
86,86,"장애인의 재활복지를 위한 학문적 연구와 더불어 효율적인 재활프로그램 개발을 위하여 사회재활, 심리재활, 직업재활 등을 공부하여 사회에서 격리된 장애인들의 복지 문제를 다루고, 장애인들이 독립된 삶을 살 수 있도록 직업과 재활시설의 연구 및 개발 인력 양성을 목적으로 하는 학과이다.","장애인 가족과 당사자의 욕구에 유연하게 반응해 줄 수 있는 학생;사람에 대한 관심과 애정이 중요하여, 기본적으로 사람들과 어울리기 좋아하며 친절하고 이해심이 많은 학생;신체적 불편을 가진 사람들을 이해하고 먼저 배려하며, 호전되어가는 사람들을 보며 행복감을 느낄 수 있는 학생",생활과 윤리;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;보건;심리학,생명과학Ⅱ
20,20,"세계화와 정보화라는 시대적 요청에 부응하여 국제 무역, 국제 금융, 국제 통상, 국제 경영, 무역 상무 및 전자 무역 등에 관한 연구를 통해 국가 경쟁력 향상과 국가 경제 발전을 위한 인재 양성을 목적으로 하는 학과이다.","전 세계를 무대로 다양한 사업을 펼쳐보고 싶은 생각이 있는 학생;적극적이고 도전적인 성격 및 개척 정신이 있는 학생;영어·중국어 등 기본적인 외국어 능력이 있고, 새로운 언어를 배우는 데 거부감이 없는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;세계지리;세계사;동아시아사;경제;정치와 법;사회·문화;제2외국어Ⅰ,경제 수학;영어권 문화;진로 영어;제2외국어Ⅱ;사회문제 탐구
64,64,사고나 학습 등 인간이 가진 지적 능력을 컴퓨터를 통해 구현하는 인공지능 기술 분야의 미래 핵심 인재가 될 전문인력 양성을 목표로 하는 학과이다.,전공 지식을 바탕으로 새로운 분야에 적용하고자 하는 호기심을 가지고 있는 학생;다양한 사회 및 환경의 변화를 긍정적 사고를 통해 받아들이는 열린 사고를 가진 학생;창의적이며 실용적 역량을 갖춘 탁월하고 윤리적인 인재로 발전할 수 있는 학생;,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;정보;논리학,기하;인공지능 수학;수학과제 탐구;물리학Ⅱ;사회문제 탐구;인공지능 기초
92,92,"치과의사가 되기 위한 기본 교양과 치의학 전공 학습의 기초를 쌓기 위해 다양한 의료인문학 영역과 자연과학 영역의 기본 지식을 익히고 통합하여 치아 및 구강, 얼굴의 질환과 장애, 기형 등에 대해 치료하고 예방하는 인력 양성을 목적으로 하는 학과이다. 예과 2년, 본과 4년, 총 6년 과정 졸업 후 치과의사 국가시험 응시 자격이 주어진다.",좁은 구강 내를 치료해야 하므로 꼼꼼한 성격에 손놀림이 정교한 학생;각종 치과 장비를 많이 사용하므로 기계를 잘 다룰 수 있는 학생;인체의 구조나 기능에 대한 관심과 과학적인 사고 능력을 겸비한 학생;이론 및 실습을 통한 방대한 학습 분량을 소화할 수 있는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;정치와 법;생활과 윤리;화학Ⅰ;생명과학Ⅰ,기하;화학Ⅱ;생명과학Ⅱ
3,3,"중국어에 대한 체계적인 학습 훈련과 언어, 문화 및 문학에 관한 깊이 있는 이해를 통해 중국 및 해당 언어권 국가와 관련된 사회 여러 분야에서 요구되는 새로운 인재의 양성을 목표로 하는 학과이다.","중국어권 국가의 어학, 문학, 문화에 관심이 있고 심화된 지식과 역량을 갖고자 하는 학생;새로운 세계를 탐구해 나가려는 호기심을 지닌 학생;문학적 감수성과 상상력이 있고, 언어의 과학적 구조에 관심이 있는 학생",윤리와 사상;세계지리;동아시아사;사회·문화;중국어Ⅰ;한문Ⅰ,"중국어Ⅱ,한문Ⅱ"
99,99,중국어 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 언어 계열 과목 교육자로서의 전문적인 소양을 갖춘 유능하고 진취적인 교사를 양성하는 것을 목적으로 인격과 전문성을 겸비한 교육 전문 인력 양성을 목적으로 하는 학과이다.,중국어에 대한 지식과 열정을 기본으로 인간과 사물을 사랑하고 존중하는 따뜻한 마음을 가진 학생;변화에 대해 능동적으로 대처하는 자세를 갖춘 학생;말과 글에 대한 긍지와 애정을 가진 진취적인 태도를 갖춘 학생;미래 교육과 연구를 담당할 수 있도록 전문 능력을 갖추려는 자세를 갖춘 학생,확률과 통계;생활과 윤리;윤리와 사상;동아시아사;사회·문화;정치와 법;중국어Ⅰ;한문Ⅰ;교육학;심리학,심화 국어;고전 읽기;일본어Ⅱ;중국어Ⅱ
32,32,"사람들이 살아가는 지표 공간의 구조와 기능, 변화 과정을 밝히고 인간과 자연 사이에서 발생하는 환경 문제를 해결 할 수 있는 과학적 이론과 응용 방법을 연구하는 인재 양성을 목적으로 하는 학과이다.",지역과 글로벌 사회에 대한 이해 능력을 가진 학생;학문적 열정과 자기 주도적 학습 능력을 가진 학생;사회 문제에 대한 비판적인 사고 및 합리적 판단력을 가진 학생,확률과 통계;한국지리;세계지리;세계사;경제;사회·문화;지구과학Ⅰ;정보,기하;여행지리;사회문제 탐구
66,66,통신 및 네트워크를 이용하여 정보를 수요자에게 빠르고 정확하게 전달하기 위한 기술과 지식 전문성을 가진 인재 양성을 목적으로 하는 학과이다.,"차세대 인터넷, 인공지능, 자율주행, 스마트폰, 사물인터넷 등에 관심이 많은 학생;수학·통계·물리 등에 대한 기본 지식과 전기전자공학에 대한 기초 지식 필요;논리적인 사고력과 프로그래밍을 좋아하는 학생에게 유리",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;사회·문화;물리학Ⅰ;지구과학Ⅰ;정보,기하;인공지능 수학;물리학Ⅱ;인공지능 기초
56,56,"전기전자, 컴퓨터, 기계분야 기술을 바탕으로 자동화 제어시스템의 설계, 제작, 분석, 운용할 수 있는 인력 양성을 목적으로 하는 학과이다.",컴퓨터를 좋아하고 수학 및 과학을 좋아하는 학생;공학의 기본 원리와 응용을 폭넓고 흥미롭게 공부할 수 있는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;정보,기하;물리학Ⅱ;화학Ⅱ
60,60,"웹과 앱을 보는 데 필요한 그래픽, 애니메이션, 홈페이지 디자인, 가상현실과 사용자 인터페이스 디자인, 게임 개발 등의 디지털 콘텐츠를 제작할 수 있는 창의적 인재 양성을 목적으로 하는 학과이다.",컴퓨터를 활용한 영상 제작이나 게임프로그래밍 등에 관심이 많은 학생;디자인 감각 및 색채감각과 창의성을 가진 학생;문화 및 사회에 대한 이해도가 높고 융합적 사고를 가진 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;세계사;물리학Ⅰ;정보,기하;영어권 문화;미술창작;생활과 과학
65,65,"네트워크 통신망에서 발생하는 정보 누출, 도청, 정보 위조 및 변조 등의 공격과 위협을 사전에 예방하고, 디도스 공격, 해킹 시도 및 바이러스 유포 등을 방어하는 인력 양성을 목표로 하는 학과이다.",코딩에 관심이 있으며 정보를 분석하고 해석하는 것에 적성과 흥미가 있는 학생;새로운 분야에 적극적으로 도전할 수 있는 용기를 가진 학생;사이버 윤리에 대하여 공감하며 다양한 소통역량을 가진 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;정치와 법;생활과 윤리;정보,기하;수학과제 탐구
51,51,"일상생활, 산업 현장 등에 필요한 각종 기계를 설계 및 제작할 수 있는 인력 양성을 목적으로 하는 학과이다.","크고 작은 기계장치에서부터 대형 산업용 기계에 이르기까지 광범위한 영역에 흥미를 가진 학생;기계뿐만 아니라 자동차,전기,전자 등에도 흥미가 있고,탐구심이 많은 학생;기계공학의 기본이 되는 수학과 물리학을 잘하며,기계 작동원리에 대한 논리력과 도면을 입체적으로 볼 수 있는 공간지각력이 높은 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;정보,기하;물리학Ⅱ;화학Ⅱ
43,43,"수학적 지식을 바탕으로 자연 현상이나 사회 현상, 경제 현상 또는 특정 집단의 다양한 특성 및 정보를 과학적으로 분석하고 결과를 도출하는 이론과 방법을 연구할 수 있는 인재 양성을 목적으로 하는 학과이다.",통계분석 기법 사용에 필요한 컴퓨터 활용능력을 갖춘 학생;수학을 좋아하며 정보를 분석하고 추리하는 것과 사회·경제 분야에 흥미가 있는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;사회·문화;경제;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;정보,경제 수학;수학과제 탐구
18,18,"한정된 자원 내에서 어떻게 하면 최대의 효용을 얻을 수 있는지, 이 선택을 하였을 때 기회 비용은 어떻게 되는지 등에 대해 연구하고 이 과정에서 일반적인 법칙을 도출하고 미래 현상을 예측해내는 인재 양성을 목적으로 하는 학과이다.",평소 경제 현상에 관심이 있는 학생;논리적이며 인과관계 분석에 흥미가 있는 학생;여러 사회 현상을 모델을 통해 설명하는 데 관심이 있는 학생;각종 경제 지표들을 읽고 분석하는 능력을 키우고자 하는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제;정치와 법;사회·문화;심리학,경제 수학;사회문제 탐구
9,9,통역과 번역에 대한 이해와 탐구에서부터 본격적인 통역에 필요한 소양 등과 관련한 교과목들을 배운다. 세계 각 지 역의 언어 관련 기본 지식과 문화적 특징에 대한 이해를 바탕으로 해외 지역 연구에 필요한 언어 능력을 갖춘 인재 양성을 목적으로 하는 학과이다.,평소 번역이나 통역 활동에 대한 관심이 높은 학생;언어와 관련한 사회·문화적 현상의 탐구 및 이해에 관심을 지닌 학생;해당 언어의 현상 및 표현과 이해 활동에 관심과 흥미가 높은 학생,영어Ⅰ;영어 독해와 작문;영어Ⅱ;윤리와 사상;세계지리;동아시아사;세계사;정치와 법;경제;사회·문화;제2외국어Ⅰ,영어권 문화;진로 영어;영미 문학 읽기;제2외국어Ⅱ
17,17,"기업뿐 아니라 다양한 조직의 경영 현상을 관찰해 그곳에 존재하는 법칙을 밝혀내고, 이를 실천적 목적에 따라 적용 시키는 학문으로서 다양한 이해관계자들의 의견을 수렴해 의사결정을 하는 방법을 배우고, 이러한 과정을 통해 얻은 성과를 효율적이고 공정하게 배분할 수 있는 능력을 갖춘 인재 양성을 목적으로 하는 학과이다.",평소에 통계나 경제 등 세상이 돌아가는 것에 대해 관심이 많은 학생;남 앞에서 발표하는 것을 좋아하고 다른 사람과 어울려 일하는 것을 좋아하는 학생;평소에 창의적이거나 기발한 생각을 자주 하는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;세계지리;세계사;경제;정치와 법;사회·문화;제2외국어Ⅰ,경제 수학;사회문제 탐구;영어권 문화;제2외국어Ⅱ
16,16,"세계와 인간에 대한 근본적 물음들을 이성적으로 탐구하며, 일반적으로 논리학, 형이상학, 인식론, 윤리학으로 구성 된다. 인식, 선과 악, 존재 등의 문제에 대해 의문을 던지고 이에 대한 학자들의 역사적 답변을 이해하고, 능동적으 로 관련 문제에 대해 탐구하는 인재 양성을 목적으로 하는 학과이다.","폭넓은 독서로 사고하는 힘을 지니고, 끊임없는 지적탐구와 논리적 사고를 즐기는 학생;인간 본성과 존재가치, 삶의 본질, 사회에 대한 관심과 흥미를 지닌 학생;주어진 것들에 대해 진지한 의문을 가지고 비판적으로 받아들이는 자세를 지닌 학생",확률과 통계;생활과 윤리;윤리와 사상;세계사;동아시아사;사회·문화;철학;논리학,고전 읽기;고전과 윤리
6,6,"프랑스어에 대한 체계적인 학습 훈련과 언어, 문화 및 문학에 관한 깊이 있는 이해를 통해, 프랑스 및 해당 언어권 국가와 관련된 사회 여러 분야에서 요구되는 새로운 인재의 양성을 목표로 하는 학과이다.","프랑스어권 국가의 어학, 문학, 문화에 관심이 있고 심화된 지식과 역량을 갖고자 하는 학생;새로운 세계를 탐구해 나가려는 호기심과 문학적 감수성과 상상력을 지닌 학생;언어의 과학적 구조에 관심이 있는 학생",영어Ⅰ;영어 독해와 작문;영어Ⅱ;윤리와 사상;세계지리;세계사;프랑스어Ⅰ,영어권 문화;영미 문학 읽기;프랑스어Ⅱ
97,97,프랑스어 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 언어 계열 과목 교육자로서의 전문적인 소양을 갖춘 유능하고 진취적인 교사를 양성하는 것을 목적으로 인격과 전문성을 겸비한 교육 전문 인력 양성을 목적으로 하는 학과이다.,프랑스어에 대한 지식과 열정을 기본으로 인간과 사물을 사랑하고 존중하는 따뜻한 마음을 가진 학생;변화에 대해 능동적으로 대처하는 자세를 갖춘 학생;말과 글에 대한 긍지와 애정을 가진 진취적인 태도를 갖춘 학생;미래 교육과 연구를 담당할 수 있도록 전문 능력을 갖추려는 자세를 갖춘 학생,확률과 통계;영어 회화;영어Ⅰ;생활과 윤리;윤리와 사상;세계사;사회·문화;정치와 법;프랑스어Ⅰ;교육학;심리학,영어권 문화;영미 문학 읽기;프랑스어Ⅱ
100,100,한문 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 언어 계열 과목 교육자로서의 전문적인 소양을 갖춘 유능하고 진취적인 교사를 양성하는 것을 목적으로 인격과 전문성을 겸비한 교육 전문 인력 양성을 목적으로 하는 학과이다.,한문에 대한 지식과 열정을 기본으로 인간과 사물을 사랑하고 존중하는 따뜻한 마음을 가진 학생;변화에 대해 능동적으로 대처하는 자세를 갖춘 학생;말과 글에 대한 긍지와 애정을 가진 진취적인 태도를 갖춘 학생;미래 교육과 연구를 담당할 수 있도록 전문 능력을 갖추려는 자세를 갖춘 학생,확률과 통계;생활과 윤리;윤리와 사상;동아시아사;사회·문화;정치와 법;한문Ⅰ;교육학;심리학,심화 국어;고전 읽기;한문Ⅱ
93,93,"주요 의과학 분야의 기초지식 및 예비 한의사로서의 소양을 쌓을 수 있는 인문 사회학 분야 및 한의학적 기본자질을 길러 질병의 근본적인 원인을 규명하고 인체의 기능을 정상으로 회복시키는 치료 및 연구를 담당하는 인력 양성을 목적으로 하는 학과이다. 예과 2년, 본과 4년, 총 6년 과정 졸업 후 한의사 국가시험 응시 자격이 주어진다.","한자로 된 한의학 전공서적을 수월하게 볼 만큼 한자에 대한 지식이 풍부한 학생;방대한 학습량을 소화할 수 있는 도전정신, 끈기와 인내심이 있는 학생;인체 및 생명에 대한 호기심이 많은 학생으로 원활한 의사소통 능력을 겸비한 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;정치와 법;생활과 윤리;화학Ⅰ;생명과학Ⅰ,화학Ⅱ;생명과학Ⅱ;한문Ⅱ;생활과 과학
72,72,"선박에 대한 기술뿐만 아니라 해양환경 및 자원개발, 해양플랜트 기술 등 해양환경을 이용할 수 있는 인력 양성을 목적으로 하는 학과이다.","해양환경에 대한 전반적인 이해와 인접 학문에 대한 이해를 지닌 학생;수학, 물리학, 화학, 지질학, 역학 등에 대한 기초적인 학습 능력을 지닌 학생;바다 자체는 물론이고 선박을 비롯한 해양구조물에 관해서도 관심과 흥미를 지닌 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;세계지리;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,기하;물리학Ⅱ;화학Ⅱ;지구과학Ⅱ
73,73,화학이나 생물학적 원리와 공학적 방법을 통해 자연환경을 보존하고 분석 및 치료할 수 있는 전문 인력 양성을 목적으로 하는 학과이다.,"화학, 물리, 수학 등 기초과학에 대한 관심이 있는 학생;정밀함이 필요한 실험·실습을 할 만큼 꼼꼼하고 차분한 성격의 학생;우리 사회 환경 개선에 적용하도록 창의적인 발상을 하는 적극적이고 진취적인 성격을 가진 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,기하;화학Ⅱ;생명과학Ⅱ;지구과학Ⅱ;생활과 과학
78,78,"석유, 가스 등의 전통적 에너지부터 신재생에너지, 원자력 등에 대한 효율적 이용 방법 탐구와 계측제어 및 발전소 관리 등을 할 수 있는 인력 양성을 목적으로 하는 학과이다.","화학, 물리학, 수학 등 기초과학에 관한 관심과 지식을 지닌 학생;정밀함이 필요한 실험·실습이 많으므로 꼼꼼하고 차분하며 집중력이 높은 학생;새로운 것을 발견하고 응용하는 것을 좋아하는 성격의 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,기하;물리학Ⅱ;화학Ⅱ;지구과학Ⅱ
75,75,"실(면, 양털, 누에고치, 나일론 및 레이온, 특수섬유, 탄소 및 나노섬유 등)과 천을 만드는 방법, 염색법 등과 관련된 다양한 섬유를 제조하고 활용할 수 있는 인력 양성을 목적으로 하는 학과이다.","화학, 물리학, 수학 등 자연과학 분야에 대한 기본 지식이 풍부한 학생;옷의 재질과 디자인, 색상에 대해서 관심이 있는 학생;새로운 것에 대한 도전 정신과 관찰력과 호기심을 가진 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ,화학Ⅱ;생명과학Ⅱ;생활과 과학
90,90,"약학은 질병의 치료 및 예방, 진단을 위한 의약품의 사용 및 개발을 위한 학술적 이론과 기술을 연구·개발하는 학문으로, 약학을 교육하고 연구하여 보건 의료 분야의 약사 및 약학자 양성을 목적으로 하는 학과이다.","화학, 생명과학, 물리학 등 과학 과목에 흥미가 있는 학생;다른 사람의 말을 잘 들어주고 설명해 주는 등 의사소통 능력을 지닌 학생;마음이 따뜻하고 타인을 잘 이해하며 배려하는 태도와 도덕성을 겸비한 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;정치와 법;생활과 윤리;화학Ⅰ;생명과학Ⅰ;보건,화학Ⅱ;생명과학Ⅱ;생활과 과학
91,91,"의료인으로서 갖추어야 할 인성, 과학인으로서 요구되는 과학적 사고력과 창의성, 보건 의료에 종사하는 전문인으로서 필요한 지식과 실기를 습득하게 하여 국민 건강의 유지 및 향상을 돕고, 의학 발전에 기여하기 위한 인재 양성을 목적으로 하는 학과이다. 예과 2년, 본과 4년, 총 6년 과정 졸업 후 의사 국가시험 응시 자격이 주어진다.","환자를 먼저 생각하는 마음과 사람의 존엄성을 소중하게 여기는 가치관을 가진 학생;지적 호기심이 강하고, 과학적 방법에 기반하여 해결하는 능력을 지닌 학생;방대한 양의 국내외 이론서적 탐독 및 고된 업무의 스트레스를 감내할 수 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;정치와 법;생활과 윤리;화학Ⅰ;생명과학Ⅰ,화학Ⅱ;생명과학Ⅱ;생활과 과학
